circumplex.arousal_custom,circumplex.valence_custom,activity_mean,call_custom,sms_custom,week_day_custom,mood_1_day_before,mood_2_day_before,mood_3_day_before,screen_mean,screen_sum,screen_len,appCat.builtin_mean,appCat.builtin_sum,appCat.builtin_len,appCat.communication_mean,appCat.communication_sum,appCat.communication_len,appCat.entertainment_mean,appCat.entertainment_sum,appCat.entertainment_len,appCat.finance_mean,appCat.finance_sum,appCat.finance_len,appCat.game_mean,appCat.game_sum,appCat.game_len,appCat.office_mean,appCat.office_sum,appCat.office_len,appCat.other_mean,appCat.other_sum,appCat.other_len,appCat.social_mean,appCat.social_sum,appCat.social_len,appCat.travel_mean,appCat.travel_sum,appCat.travel_len,appCat.unknown_mean,appCat.unknown_sum,appCat.unknown_len,appCat.utilities_mean,appCat.utilities_sum,appCat.utilities_len,appCat.weather_mean,appCat.weather_sum,appCat.weather_len,mood,id
0.0,1.0,0,0.6666666666666666,0,-1,7.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,AS14.01
-0.08333333333333333,0.9166666666666666,0,0.6666666666666666,1.0,0,6.25,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333333333333333,AS14.01
0.0,1.0,0,1.0,0.8333333333333334,-2,7.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,AS14.17
0.0,0.7777777777777777,0,0,1.0,-1,7.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333333333333333,AS14.08
0.38888888888888884,1.4444444444444444,0,0.6,0.75,-1,7.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,AS14.17
0.38888888888888884,1.361111111111111,0,0.4666666666666667,1.0,0,8.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,AS14.17
-0.19999999999999998,0.6444444444444445,0,0,1.0,0,6.333333333333333,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,AS14.08
-0.19999999999999998,0.7111111111111111,0,0,1.0,1,7.2,6.333333333333333,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,AS14.08
0.5555555555555555,1.2708333333333333,0,0.4666666666666667,1.0,1,7.25,8.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,AS14.17
0.0,0.7833333333333333,0,0,0.6153846153846154,2,7.4,7.2,6.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,AS14.08
0.6388888888888888,1.0277777777777777,0,1.0,1.0,2,7.5,7.25,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,AS14.17
-0.25,0.9333333333333332,0,0,0.6153846153846154,3,7.0,7.4,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,AS14.08
0.6125,0.8875,0,1.0,0,3,7.6,7.5,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,AS14.17
0.65,0.9333333333333332,0,1.0,0,-3,7.2,7.6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.333333333333333,AS14.17
-0.13333333333333333,1.0,0,0,1.0,-3,7.2,7.0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,AS14.08
-0.6666666666666666,0.8,0,0,0.875,-2,6.8,7.2,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,AS14.08
